refseq_name	AP_SK_MllAF9_BMTs_01_wtGMP_1	AP_SK_MllAF9_BMTs_02_wtGMP_2	AP_SK_MllAF9_BMTs_03_wtGMP_3	AP_SK_MllAF9_BMTs_04_wtGMP_4	AP_SK_MllAF9_BMTs_05_LTearly_1_M2grD2	AP_SK_MllAF9_BMTs_06_LTearly_2_M3grE2	AP_SK_MllAF9_BMTs_07_LTearly_3_M4grLT3	AP_SK_MllAF9_BMTs_08_LTearly_4_M2grLT5	AP_SK_MllAF9_BMTs_09_LTlate_1_M2grLT3	AP_SK_MllAF9_BMTs_10_LTlate_2_M6grLT3	AP_SK_MllAF9_BMTs_11_LTlate_3_M3grD2	AP_SK_MllAF9_BMTs_12_LTlate_4_M3grG2	AP_SK_MllAF9_BMTs_13_BMTGMP_1_M1grV	AP_SK_MllAF9_BMTs_14_BMTGMP_2_M2grV	AP_SK_MllAF9_BMTs_15_BMTGMP_3_M1grW	AP_SK_MllAF9_BMTs_16_BMTGMP_4_M1grX
XM_003084779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003084781	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
XM_003084782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8
XM_003084806	0	0	0	0	1	0	5	0	0	23	0	0	0	0	0	0
XM_003084807	0	0	0	0	1	0	5	0	0	23	0	0	0	0	0	0
XM_003084808	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0
XM_003084819	0	0	0	0	4	11	32	0	0	17	27	0	26	0	3	0
XM_003084820	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0
XM_003084824	0	9	0	0	0	0	0	4	0	0	0	0	9	0	6	25
XM_003084825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
XM_003084838	0	0	0	0	0	0	0	0	0	0	0.33333	0	0	0	0	0
XM_003084854	0	19	0	0	11.91667	5	9	19	32	8.8	21	48	15	14	0	28
XM_003084858	5	4	0	0	0	0	0	0	0	2	9	6	0.5	11.5	2	0
XM_003084864	0	0	0	0	0	9	0	0	0	10	0	0	0	0	0	0
XM_003084866	0	0	0	0	0	0	0	44	0	0	0	0	6	0	0	0
XM_003084875	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003084879	0.33333	1.33333	0.73333	0	18	35.7	0.5	0.25	3.9	16.66667	0	0	0.4	10	0.4	24.73333
XM_003084882	17	19	34	5	36	23	2	26	34	134	38	37	69	19	31	42
XM_003084889	0	0	0	0	0	10	0	0	31	13	33	0	0	0	0	0
XM_003084894	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
XM_003084895	0	12	0	0	8	36	14	5	2	36	8	39	28	0	0	19
XM_003084900	0	0	0	9	0	0	12	8	32	26	7	11	10	0	0	10
XM_003084912	0	14	1	0	30.23611	37.24947	0	0	0	0	0	37	12	0	2	11.06667
XM_003084913	1	0	0	0	0	23	0	0	0	13	0	121	5	0	0	0
XM_003084918	0	0	0	0	0	0	15	0	23	0	1	7	22	0	0	22
